ID,Source,Label,Human_annotation_median,Sentence,Category,Split
EsCoLA_4385,GDE30,1,1,A ti te sería conveniente el ejercicio.,14,train
EsCoLA_8623,GDE50,1,1,"Si un minuto tiene sesenta segundos y una hora sesenta minutos, entonces una hora tiene tres mil seiscientos segundos.",12,train
EsCoLA_3635,GDE25,1,1,El barco fue hundido por el capitán.,5,train
EsCoLA_3425,GDE24,1,1,Kiko les habló de sus últimas inversiones a sus asociados.,14,train
EsCoLA_5327,GDE33,0,0,"La causa, que Jorge haya suspendido, es que no ha puesto interés.",8,train
EsCoLA_8039,GDE48,0,0,Nos contará que habrá estado en Berlín hacía dos años.,14,train
EsCoLA_3879,GDE27,1,0,Se me hace que no va a venir.,14,train
EsCoLA_5889,GDE36,1,1,El presidente se obligó a comer pescado.,10,train
EsCoLA_10101,GDE62,1,1,¿Conque te marchas?,7,train
EsCoLA_1933,GDE16,1,1,Se reía toda nerviosa.,13,train
EsCoLA_6760,GDE39,1,1,Me devolvió el paraguas con una varilla rota.,3,train
EsCoLA_2880,GDE19,0,0,Te hizo oírte cantar toda la noche.,14,train
EsCoLA_8876,GDE51,1,1,"Vamos a ver, ¿qué habéis estudiado hoy?",9,train
EsCoLA_8734,GDE51,1,1,Pienso aprobar todo el curso.,10,train
EsCoLA_4115,GDE30,1,1,A la casa se le cayó una teja.,14,train
EsCoLA_10364,GDE65,0,0,Como lo sabe él es incluso.,6,train
EsCoLA_7133,GDE41,0,0,Vos y yo van.,14,train
EsCoLA_487,GDE04,0,0,Habían cruelmente decidido vengarse.,10,train
EsCoLA_4440,GDE30,1,0,Le salió a su encuentro a Miguel.,14,train
EsCoLA_1728,GDE16,1,1,La mayoría de senadores socialistas votaron en contra.,13,train
EsCoLA_8482,GDE49,1,1,Pienso que he cumplido con mi obligación.,8,train
EsCoLA_7897,GDE47,1,1,Ayer María se marchó pronto porque había dejado a los niños solos.,12,train
EsCoLA_8368,GDE49,0,0,A Juan le parece que María tenga veinte años.,8,train
EsCoLA_6593,GDE38,0,0,Propuestas son novedosas.,13,train
EsCoLA_5507,GDE34,0,0,A veces trato que mis hijos sean como los tuyos.,14,train
EsCoLA_2179,GDE17,1,1,Teo es tan nervioso como inteligente.,13,train
EsCoLA_4332,GDE30,1,1,Juan le puso la mano sobre el hombro al niño.,14,train
EsCoLA_6104,GDE36,1,1,Es una persona arrogante y muy proclive a aceptar los elogios.,10,train
EsCoLA_1519,GDE13,0,0,El Tajo es río.,13,train
EsCoLA_9612,GDE57,1,1,"Como vuelvas a gritarme, te dejaré definitivamente.",12,train
EsCoLA_9305,GDE53,1,1,"Juan habló, sabiendo que nadie le escuchaba.",3,train
EsCoLA_1876,GDE16,0,0,Juan y María obtuvieron dos notas excelentes respectivamente.,13,train
EsCoLA_9806,GDE59,1,1,"Queríamos ir al cine, pero no tenemos dinero.",12,train
EsCoLA_6921,GDE40,0,0,No fue el alcalde quien la prensa dijo que fuese el responsable.,9,train
EsCoLA_9013,GDE52,1,1,Estoy rellenando el impreso que me diste.,9,train
EsCoLA_6284,GDE36,1,1,Se oía a lo lejos el sonar de los truenos.,10,train
EsCoLA_7345,GDE42,1,1,El armario pretendía comprarlo yo.,6,train
EsCoLA_5518,GDE35,1,1,¿Cuándo te preguntaron que si estabas interesado?,7,train
EsCoLA_1532,GDE13,1,1,La radio tenía la virtud de hacerlo personaje de melodrama.,13,train
EsCoLA_230,GDE03,1,1,Los supuestos frecuentes viajes de Luis asustan a su mujer.,11,train
EsCoLA_2783,GDE19,1,1,Les doy el regalo a los niños.,14,train
EsCoLA_3568,GDE25,1,1,El barco fue hundido desde el avión.,5,train
EsCoLA_8230,GDE48,1,1,Juan llegó antes que Pedro.,3,train
EsCoLA_2676,GDE19,1,1,A ello debemos nuestra actual situación.,14,train
EsCoLA_8947,GDE51,1,1,Tienes que ayudarme.,9,train
EsCoLA_5820,GDE36,1,1,Oigo sonar las campanas.,10,train
EsCoLA_2092,GDE17,0,0,Menos amigos míos hicieron menos obsequios a menos familiares suyos de los que Juan se pensaba que harían.,13,train
EsCoLA_3708,GDE26,1,1,Se presentía que el rector sería elegido pero no se deseaba.,5,train
EsCoLA_3411,GDE24,1,0,Patty lo hizo estudiar a la fuerza.,10,train
EsCoLA_8676,GDE51,0,0,Dos lágrimas no querían que salieran de sus ojos.,9,train
EsCoLA_3813,GDE27,1,1,En septiembre hizo un año que me marché.,3,train
EsCoLA_925,GDE07,0,0,Los congresistas quienes llegaron anoche fueron alojados provisionalmente.,7,train
EsCoLA_6370,GDE37,1,1,Su familia está por Asturias.,2,train
EsCoLA_10416,GDE65,1,1,Vinieron para recoger el dinero.,10,train
EsCoLA_8276,GDE48,1,1,Llegan invitados hace tiempo.,3,train
EsCoLA_3828,GDE27,1,1,Parece que Juan trabaja mucho.,2,train
EsCoLA_9423,GDE54,1,1,"Como ya ha venido el lechero, son más de las ocho.",12,train
EsCoLA_9502,GDE56,1,1,"Para que te enteres, me ha llamado.",12,train
EsCoLA_8833,GDE51,1,1,El Presidente se va a dirigir a los diputados.,9,train
EsCoLA_7295,GDE41,1,1,No recogimos a Rosalía sino a Elena.,12,train
EsCoLA_3437,GDE24,1,1,Kiko vendió el coche a Maggie.,4,train
EsCoLA_6822,GDE40,1,1,Nadie sabía cuál era la solución.,9,train
EsCoLA_4947,GDE32,0,0,Ha sido preferido que los observadores internacionales se vayan de allí.,5,train
EsCoLA_4955,GDE32,0,0,Ha sido celebrado el que los niños hayan disfrutado la fiesta a su modo.,5,train
EsCoLA_721,GDE06,0,0,Ocurrió alguna destrucción de la evidencia por el testigo.,4,train
EsCoLA_5209,GDE32,1,1,Durante la guerra de Vietnam fueron muchísimos los soldados que fueron mandados a la muerte.,11,train
EsCoLA_10499,GDE65,1,1,Eres tú el que lo dice.,7,train
EsCoLA_5156,GDE32,0,0,Ana reside en que no queda tiempo para hacerlo.,12,train
EsCoLA_3145,GDE23,1,0,Juan apela a menudo a ella.,6,train
EsCoLA_8669,GDE51,1,1,Aquel señor lo quiso.,14,train
EsCoLA_9307,GDE53,1,1,"Juan habló, porque sabía que nadie le escuchaba.",12,train
EsCoLA_3717,GDE26,1,1,Las nuevas movilizaciones anunciadas son temidas por toda la sociedad.,4,train
EsCoLA_373,GDE04,1,1,Es atento.,2,train
EsCoLA_5211,GDE32,1,1,Esta es la hija de Salomón que él te envía.,7,train
EsCoLA_8645,GDE50,1,1,Se llevó una terrible sorpresa cuando entró en su habitación.,3,train
EsCoLA_10312,GDE65,1,1,A quien eligieron alcalde por un día fue a su padre.,7,train
EsCoLA_9219,GDE53,0,0,Ganó una medalla olímpica corriendo todavía.,3,train
EsCoLA_6458,GDE37,0,0,Antonio me parece estudiante de filosofía pura.,2,train
EsCoLA_1592,GDE15,1,1,Dos mujeres desean que su familia sea feliz.,13,train
EsCoLA_9183,GDE53,1,1,"Esforzándose, Pedro consigue lo que quiere.",3,train
EsCoLA_6815,GDE40,1,1,No tendrás dificultad alguna para aprobar tu examen.,9,train
EsCoLA_8680,GDE51,1,1,Leer la carta fue deseado por Juan.,5,train
EsCoLA_5447,GDE34,1,0,Estoy seguro que vas a aprobar.,8,train
EsCoLA_3341,GDE23,1,1,Sólo Ana habla siempre de ella.,6,train
EsCoLA_6552,GDE38,1,1,La enfermera se acercó solícita.,3,train
EsCoLA_8528,GDE50,1,1,"No faltan, sin embargo, lingüistas que adoptan la posición contraria.",7,train
EsCoLA_2646,GDE19,0,0,Ella quiere decidirlo la afectada.,14,train
EsCoLA_1822,GDE16,1,1,La casa era toda roja.,13,train
EsCoLA_6520,GDE37,0,0,Pepe está en Francia del todo.,2,train
EsCoLA_9715,GDE58,0,0,Tiene un hijo que no hay quién pueda con el hijo.,12,train
EsCoLA_9813,GDE59,1,1,"Me gustaría ayudarte, aunque no tengo dinero.",12,train
EsCoLA_8072,GDE48,1,1,Llamé cuando la acabé.,14,train
EsCoLA_9598,GDE57,1,1,"Ganando mucho dinero, tienes más oportunidades de ser feliz.",3,train
EsCoLA_4613,GDE31,0,0,Juan no me dijo a la profesión.,1,train
EsCoLA_10015,GDE61,1,1,¿Por qué no eres más simpático con ella?,7,train
EsCoLA_10188,GDE65,1,1,¿Quién es Juan?,7,train
EsCoLA_6699,GDE38,0,0,La reunión fue ayer de ayer.,3,train
EsCoLA_5445,GDE34,0,0,Ella presumía siempre que sabía cocinar muy bien.,14,train
EsCoLA_8535,GDE50,0,0,Es el profesor profesor más interesante que haya tenido.,14,train
EsCoLA_412,GDE04,1,1,Un joven abogado defendió vigorosamente al reo.,12,train
EsCoLA_9066,GDE52,1,1,Las brumas de la superstición se irían disipando con el auge progresivo de la ciencia.,9,train
EsCoLA_376,GDE04,1,1,Es seguro.,2,train
EsCoLA_6715,GDE39,1,1,Este billete es de curso legal.,2,train
EsCoLA_8396,GDE49,1,1,Resulta inútil que señalen a la juventud por sus ideales.,8,train
EsCoLA_3186,GDE23,1,1,Alguien explotó ese yacimiento.,1,train
EsCoLA_10008,GDE60,1,1,Hace frío.,1,train
EsCoLA_4933,GDE32,1,1,Ha sido comparado con Hitler.,5,train
EsCoLA_8945,GDE51,1,1,No lo tienes por qué decir.,7,train
EsCoLA_4236,GDE30,1,1,El dinero no le alcanzaba.,14,train
EsCoLA_3063,GDE23,0,0,¿Quién lava a Otto? Sí.,6,train
EsCoLA_5201,GDE32,1,1,Por eso lucharon.,4,train
EsCoLA_7056,GDE40,0,1,Ana conoce a todo el mundo pero María a nadie.,9,train
EsCoLA_2420,GDE17,1,1,Juan es el chico que más libros compró.,13,train
EsCoLA_5691,GDE35,0,0,Preguntó que son los amigos de quién.,7,train
EsCoLA_9457,GDE56,0,0,La razón por la que es su hijo favorito es porque su madre me lo ha dicho.,7,train
EsCoLA_535,GDE05,0,0,Se interesa por guardaespaldas forzudo.,13,train
EsCoLA_888,GDE07,1,1,No sabes la de veces que se lo he dicho.,7,train
EsCoLA_1227,GDE12,1,1,Le asustaba la de dificultades que se acercaban.,7,train
EsCoLA_9574,GDE57,1,1,"Si se viaja en avión, se gana tiempo.",12,train
EsCoLA_1134,GDE12,1,1,De aquí al palacio real tardará usted unos cinco minutos.,3,train
EsCoLA_3178,GDE23,1,1,Juan bebió vino.,1,train
EsCoLA_9070,GDE52,0,0,Fue ordenando el armario cuatro horas.,9,train
EsCoLA_2757,GDE19,1,1,¿A quién le preguntaste?,14,train
EsCoLA_9653,GDE58,1,1,Está que revienta.,12,train
EsCoLA_1299,GDE12,0,0,María es vendaval.,2,train
EsCoLA_3172,GDE23,1,0,El pastor se confesó a sí mismo.,6,train
EsCoLA_6031,GDE36,1,1,Le gusta que viajes en verano.,8,train
EsCoLA_442,GDE04,1,1,Este libro fue cuidadosamente traducido al alemán.,11,train
EsCoLA_9386,GDE53,0,0,Salió del país siguiéndole la policía.,3,train
EsCoLA_3211,GDE23,0,0,Las puertas casi se tocaban la una la otra.,6,train
EsCoLA_7028,GDE40,1,1,Tampoco al cine iremos hoy.,9,train
EsCoLA_7319,GDE42,1,1,Te ayudarán alguno de ellos.,14,train
EsCoLA_1136,GDE12,1,1,No nos gusta la idea de trabajar con ellos.,10,train
EsCoLA_5786,GDE36,0,0,Julia había parecido tener razón.,10,train
EsCoLA_850,GDE07,1,1,Esa casa adonde María no sabe si irá finalmente a vivir vale mucho dinero.,7,train
EsCoLA_9658,GDE58,1,1,Es un libro estupendo que se deja leer solo.,12,train
EsCoLA_8523,GDE50,1,1,"Que sepan hablar alemán, hay pocos.",7,train
EsCoLA_1498,GDE13,0,0,"Cuando hayamos reunido varias pruebas en número suficiente, iremos a la policía.",13,train
EsCoLA_465,GDE04,1,1,Está muy solicitada por todo el mundo.,4,train
EsCoLA_10279,GDE65,0,0,Lo que hace es colección de sellos.,7,train
EsCoLA_9714,GDE58,0,0,"Pilló un empacho, que aún no se ha repuesto del empacho.",12,train
EsCoLA_5029,GDE32,1,1,Agradezco a la vida que me haya dado tanto.,4,train
EsCoLA_10051,GDE61,1,1,No te he dicho nada.,9,train
EsCoLA_1309,GDE12,0,1,"Había terminado de escribir la novela, que después tendría un gran éxito.",7,train
EsCoLA_6360,GDE37,1,1,¿De qué crees que fue la causa una carta de su novia?,7,train
EsCoLA_1655,GDE15,1,1,Te lo rompo en la cabeza.,12,train
EsCoLA_4005,GDE28,0,0,Hay todo.,1,train
EsCoLA_111,GDE01,0,1,Hay dos camisas naranjas.,11,train
EsCoLA_708,GDE06,0,0,Sucede la construcción de los albañiles de una casa.,11,train
EsCoLA_8748,GDE51,1,1,El tiempo parece transcurrir sin avisar.,2,train
EsCoLA_4202,GDE30,1,1,"Si a alguien escribió unas cuartillas, fue a su novia.",12,train
EsCoLA_3914,GDE27,1,1,Puede que Juan no sepa nada.,8,train
EsCoLA_6948,GDE40,1,1,No he visto película alguna esta semana.,9,train
EsCoLA_5519,GDE35,1,1,¿Alguna vez te confirmaron si vendrían o no?,7,train
EsCoLA_9759,GDE58,1,1,"Aunque se ha hecho muy tarde, nos prometió que vendría a buscarnos.",12,train
EsCoLA_4810,GDE32,0,1,El que se negaba a llegar a un acuerdo avivó el debate.,8,train
EsCoLA_4978,GDE32,1,1,El partido sostiene sólo a un candidato.,4,train
EsCoLA_1725,GDE16,1,1,Tal día hará un año de su partida.,13,train
EsCoLA_9130,GDE52,1,1,Tiene el anillo en la mesilla.,3,train
EsCoLA_8500,GDE50,1,1,No conozco a nadie que pueda ayudarte.,9,train
EsCoLA_8115,GDE48,0,0,Conocí a Juan cuando era de Cáceres.,3,train
EsCoLA_5666,GDE35,1,0,No dijeron que si venía esta tarde.,7,train
EsCoLA_8985,GDE52,1,1,Siguen pidiendo un aumento de sueldo.,9,train
EsCoLA_8129,GDE48,0,0,"Sólo cuando él hubo resuelto todos sus problemas, Juan me ayudó.",6,train
EsCoLA_3409,GDE24,1,1,El perro hizo tropezar a Pablo.,10,train
EsCoLA_1651,GDE15,1,1,Le tiemblan las manos.,12,train
EsCoLA_2020,GDE16,0,0,Habló con alguien de los presentes.,13,train
EsCoLA_8055,GDE48,1,1,Lo conocí hace un año.,3,train
EsCoLA_9782,GDE58,1,1,"Por lo demás, se enfadó como siempre.",12,train
EsCoLA_9733,GDE58,1,1,Se besan imperceptiblemente.,12,train
EsCoLA_5010,GDE32,1,1,Me lo mandó hacer.,14,train
EsCoLA_5557,GDE35,0,0,Pilar habló de: «¿Dónde vive José?»,7,train
EsCoLA_8987,GDE52,1,1,Mi gabardina está chorreando.,9,train
EsCoLA_3050,GDE21,0,0,¿Has visto a un niño que lleva un anorak azul? Acabo de ver pasar.,14,train
EsCoLA_3588,GDE25,1,1,El día ha oscurecido de repente.,3,train
EsCoLA_10210,GDE65,1,1,Son el avión y el coche los que más contaminan.,7,train
EsCoLA_2216,GDE17,0,1,Juan compró dos libros más de veinte.,13,train
EsCoLA_2067,GDE17,1,1,Esos chicos de los que me hablaste son suecos.,7,train
EsCoLA_1038,GDE08,1,1,"¿Tienen algún libro de Baudelaire, el poeta maldito?",3,train
EsCoLA_7041,GDE40,1,1,Juan siempre llega a la oficina antes que ninguno de sus compañeros.,9,train
EsCoLA_1632,GDE15,1,1,María tiene las piernas muy bellas.,13,train
EsCoLA_3754,GDE26,1,1,"A causa del atasco, se llegó tarde al Bernabéu.",5,train
EsCoLA_2995,GDE20,1,1,El traje que vestí mañana no lo ha lavado mi lavandera.,7,train
EsCoLA_4241,GDE30,1,1,Importa vinos de reserva.,11,train
EsCoLA_3231,GDE23,0,1,Los amigos se escriben unos sobre los otros con regularidad.,6,train
EsCoLA_6534,GDE38,1,0,El pintor dibujó una naturaleza muerta feliz.,3,train
EsCoLA_8302,GDE48,1,1,"He limpiado la casa hasta que me han llamado, pero no la he podido dejar en orden.",12,train
EsCoLA_7318,GDE42,1,1,Te ayudarán algunas de ellas.,14,train
EsCoLA_406,GDE04,0,0,Estoy comido en este restaurante.,2,train
EsCoLA_8265,GDE48,0,0,Llegan invitados desde poco.,3,train
EsCoLA_9907,GDE60,1,1,Está prohibido fumar aquí.,10,train
EsCoLA_9467,GDE56,1,1,No viniste porque tuvieras hambre ¿verdad?,12,train
EsCoLA_6078,GDE36,1,1,"A Julia le encantaría viajar a China, pero sus amigos no pueden.",12,train
EsCoLA_5996,GDE36,0,0,La abuela no se lo tolera tomar.,14,train
EsCoLA_9474,GDE56,1,1,"No han llegado, pues no se oye ruido.",12,train
EsCoLA_130,GDE03,1,0,Este sabor es más mineral que aquel.,13,train
EsCoLA_1025,GDE08,1,1,"Pedro, inquieto, se fumaba un cigarrillo tras otro.",3,train
EsCoLA_6130,GDE36,1,1,Estos turistas japoneses me han confesado que no tomarán nunca vino tinto.,8,train
EsCoLA_7818,GDE43,1,1,"Me preguntó dónde habíamos comprado uno de nuestros dos sofás, pero no recuerdo cuál de ellos.",7,train
EsCoLA_2527,GDE19,1,1,María misma lo ha dicho.,6,train
EsCoLA_2590,GDE19,0,0,Le puse un clavo a ella.,14,train
EsCoLA_1092,GDE08,1,1,Es un caradura.,2,train
EsCoLA_3549,GDE25,1,1,Las puertas se cerraron ellas solas.,5,train
EsCoLA_3508,GDE24,1,1,Vendrán los jugadores de ese equipo.,3,train
EsCoLA_6188,GDE36,1,1,Las lavadoras sin pintar están a buen precio.,10,train
EsCoLA_6791,GDE39,1,1,Eligieron nuevo director sentados en cómodos sillones y con las ventanas abiertas.,3,train
EsCoLA_9489,GDE56,0,0,Te han escrito para haberte felicitado por tu ascenso.,12,train
EsCoLA_5672,GDE35,1,1,Opinó si estaba correcto o no.,7,train
EsCoLA_1418,GDE12,0,0,Tengo cinco los sentidos.,13,train
EsCoLA_6887,GDE40,0,0,Juan no sabe tanto matemáticas como física.,9,train
EsCoLA_1818,GDE16,1,1,La casa es toda roja.,13,train
EsCoLA_8046,GDE48,1,1,Te lo dirá en esa semana.,3,train
EsCoLA_4139,GDE30,1,1,Les preguntó la lección a los alumnos.,14,train
EsCoLA_2918,GDE20,1,1,"Tú trabajas demasiado, ellos te pagan poco.",6,train
EsCoLA_3142,GDE23,1,1,Juan se habla a menudo a sí mismo.,6,train
EsCoLA_10427,GDE65,0,0,Lo que es Juan de la clase es el más alto.,13,train
EsCoLA_321,GDE04,1,1,El asunto está pendiente de firma.,11,train
EsCoLA_4587,GDE31,0,0,Creo dónde vive.,7,train
EsCoLA_8849,GDE51,0,1,"Si te castigará tu padre, no vamos.",12,train
EsCoLA_4274,GDE30,1,1,¿Le reparó el cuadro a Benito?,14,train
EsCoLA_2117,GDE17,1,1,Me acuerdo de menos poemas de los que él se acuerda.,13,train
EsCoLA_4257,GDE30,0,1,"Si escribió unas cuartillas, fue a su novia.",4,train
EsCoLA_1686,GDE15,0,0,Se produjo su invasión americana.,13,train
EsCoLA_1098,GDE08,0,1,Miguel es un ciclista fuera de serie.,2,train
EsCoLA_6555,GDE38,1,1,Juan se asustó.,5,train
EsCoLA_4473,GDE30,1,1,Pepa se lava la ropa.,6,train
EsCoLA_3860,GDE27,1,1,Es suficiente con tres sesiones.,2,train
EsCoLA_9127,GDE52,1,1,El delito de interceptación de las comunicaciones estaba castigado con arresto mayor.,11,train
EsCoLA_5071,GDE32,1,1,"El cielo estaba nublado, con un color mate, como si fuera a nevar.",12,train
EsCoLA_7342,GDE42,0,0,Di el regalo a ellos.,14,train
EsCoLA_8697,GDE51,1,1,Pueden discutirse los problemas.,9,train
EsCoLA_8711,GDE51,1,0,Aquí no ha de fumar.,9,train
EsCoLA_8289,GDE48,1,1,Pepe estuvo en París desde Navidad hasta el verano.,3,train
EsCoLA_1318,GDE12,1,1,Un amigo tuyo te está esperando abajo.,3,train
EsCoLA_4824,GDE32,1,1,Nos ha dicho varias cosas.,14,train
EsCoLA_9511,GDE56,0,0,Se ha descubierto una vacuna por controlar la enfermedad.,10,train
EsCoLA_5978,GDE36,1,0,La dejaron tocar el piano.,14,train
EsCoLA_5344,GDE34,0,0,"El único sistema de que yo encuentro que es viable, es el darle responsabilidad.",14,train
EsCoLA_9928,GDE60,1,1,No te contrato.,9,train
EsCoLA_4664,GDE31,0,0,El estudiante en llegar fue Juan.,10,train
EsCoLA_6303,GDE36,0,0,El vivir bien de la gente elogio.,10,train
EsCoLA_1390,GDE12,1,1,Admiraba a los científicos.,13,train
EsCoLA_10470,GDE65,0,0,De Juan es de quien me gusta el tirador del cajón del escritorio.,7,train
EsCoLA_3898,GDE27,1,1,Fue anoche que te vi.,7,train
EsCoLA_7727,GDE42,0,0,Comió todo que le hizo mal.,7,train
EsCoLA_6145,GDE36,0,0,El juez reconoce cometer un error.,10,train
EsCoLA_4636,GDE31,0,0,Dijo lo fácil del problema.,11,train
EsCoLA_6657,GDE38,0,1,La situación se quedó bien aclarada por las autoridades.,5,train
EsCoLA_9827,GDE59,1,1,"Aunque antes de las tres ya habré recibido el dinero, ahora estoy muy intranquilo.",12,train
EsCoLA_5714,GDE36,1,1,Parece que las damas están contentas.,2,train
EsCoLA_9095,GDE52,1,1,He vivido aquí cuatro meses.,3,train
EsCoLA_5229,GDE32,1,1,A los ancianos se les acompaña a votar.,14,train
EsCoLA_1826,GDE16,1,1,Muchos salieron del túnel ilesos.,13,train
EsCoLA_1045,GDE08,1,1,Los Rolling Stones comienzan una nueva gira mundial.,11,train
EsCoLA_8789,GDE51,1,1,Lo que conseguí fue aprobar el curso.,7,train
EsCoLA_5438,GDE34,0,0,No estoy convencido si me va a gustar la película.,7,train
EsCoLA_8441,GDE49,1,1,Les reprocho que no me hagan caso.,8,train
EsCoLA_536,GDE05,1,1,Bosnia merece una paz justa y duradera.,11,train
EsCoLA_7974,GDE48,0,0,Juan era de Cuenca desde siempre.,3,train
EsCoLA_8211,GDE48,1,1,Luis todavía no ha terminado la tesis.,9,train
EsCoLA_7385,GDE42,1,1,Lo escandaloso tiene audiencia.,14,train
EsCoLA_7733,GDE42,0,0,¿Y tú la empeñas en hacerlo?,14,train
EsCoLA_4908,GDE32,1,1,Ana lo hizo sacar del garaje.,14,train
EsCoLA_292,GDE04,1,1,Juan no lamenta haber vivido en Atenas.,10,train
EsCoLA_6352,GDE37,1,1,Es mañana cuando tienes que hacer el examen.,2,train
EsCoLA_8701,GDE51,1,1,Aquí se puede estar bien.,9,train
EsCoLA_4304,GDE30,1,1,La abuela preparó un estofado para sus padres.,4,train
EsCoLA_4766,GDE32,0,0,Me escama que no está aquí.,8,train
EsCoLA_10345,GDE65,1,1,Lo construyeron después de la guerra.,3,train
EsCoLA_3695,GDE26,1,1,Estas frutas se comen la mayoría de las veces.,5,train
EsCoLA_2494,GDE17,0,0,Compré más trigo del excesivo.,13,train
EsCoLA_4607,GDE31,0,0,No sabía: «¿Cuándo terminaré la carrera?»,7,train
EsCoLA_2268,GDE17,1,1,Yo conozco futbolistas muchísimo menos inteligentes que Kasparov.,13,train
EsCoLA_9552,GDE57,1,1,"Si siempre ha tenido un don, ese es el de la insistencia.",12,train
EsCoLA_6941,GDE40,1,1,Juan no lee libro de aventuras.,9,train
EsCoLA_1700,GDE16,0,0,No estuvo aquí nadie de los escritores argentinos.,13,train
EsCoLA_7526,GDE42,1,1,Tu padre se enterará: ello es seguro.,6,train
EsCoLA_3833,GDE27,1,1,Eso parece.,2,train
EsCoLA_4472,GDE30,0,1,El Betis se ha subido a las barbas al Madrid.,4,train
EsCoLA_1102,GDE08,0,1,Juan es un feo simpático.,2,train
EsCoLA_3109,GDE23,1,1,La presidenta ha tomado la decisión delante de la asamblea misma.,3,train
