"Item","Frequency"
"aún","283767"
"trata","283627"
"cuatro","283248"
"realizar","281764"
"frente","280979"
"junto","280237"
"nunca","280158"
"mediante","279535"
"partido","279371"
"casos","278831"
"fuera","278414"
"formación","278156"
"estaba","278056"
"haber","277710"
"luego","277447"
"último","277185"
"siendo","276043"
"lado","274384"
"modo","274028"
"investigación","273649"
"países","272615"
"actividades","272453"
"gestión","272228"
"permite","270517"
"hora","270436"
"atención","269133"
"largo","269130"
"problema","268457"
"respecto","267756"
"fueron","267555"
"buen","267229"
"estamos","266514"
"sociales","266212"
"entonces","262741"
"internacional","262721"
"nuevos","261987"
"os","260600"
"partir","260034"
"libro","259861"
"sentido","259037"
"nuevas","258796"
"juego","257802"
"obra","257622"
"modelo","257197"
"creo","256505"
"control","255409"
"realidad","255019"
"josé","254992"
"cuanto","254873"
"alguna","254413"
"6","253911"
"mejores","253768"
"paso","251958"
"base","251669"
"varios","251451"
"comunidad","249178"
"espacio","249129"
"segunda","248747"
"educación","248302"
"podría","245990"
"serie","245591"
"dicho","245557"
"resultados","244438"
"familia","243953"
"dice","243332"
"puntos","243022"
"puesto","242733"
"mes","241722"
"diseño","240887"
"tratamiento","240524"
"falta","240352"
"llegar","239973"
"20","239349"
"alta","237530"
"profesionales","237115"
"especial","236744"
"ofrece","236287"
"mayoría","235197"
"saber","234261"
"valor","234201"
"condiciones","234006"
"segundo","233063"
"ayuda","231843"
"igual","231830"
"van","230999"
"española","230927"
"medidas","230924"
"hombre","230237"
"conocer","230237"
"ir","230188"
"verdad","229066"
"español","228944"
"red","228504"
"seguir","228218"
"capacidad","227179"
"juan","226051"
"claro","225369"
"necesario","225234"
"profesional","225197"
"encuentra","224584"
"derechos","222663"
"acceso","222459"
"tema","222453"
"dirección","222439"
"propio","221025"
"plan","220800"
"estados","220711"
"cuerpo","218967"
"producto","218489"
"haya","217632"
"curso","217162"
"cinco","216648"
"encontrar","216120"
"mujer","216007"
"últimos","215405"
"etc.","215063"
"algún","212878"
"principal","211591"
"europa","211503"
"dios","211444"
"clientes","210891"
"siglo","210785"
"usted","210322"
"comunicación","210306"
"actual","210014"
"cierto","209510"
"30","209444"
"mano","208846"
"línea","208311"
"15","207595"
"esos","207185"
"estudios","206531"
"primero","206503"
"ningún","206473"
"dinero","206346"
"8","205972"
"recursos","205526"
"7","204938"
"ellas","204753"
"cabo","204530"
"siguiente","204130"
"mis","204049"
"futuro","204012"
"propia","203982"
"director","202567"
"resto","201791"
"imagen","201344"
"ayuntamiento","200457"
"riesgo","200149"
"estoy","199955"
"proyectos","199896"
"dado","199856"
"crisis","199389"
"sigue","199345"
"marca","199005"
"tienes","198859"
"sería","198653"
"bueno","197680"
"deben","197582"
"minutos","197082"
"medios","197024"
"fecha","196507"
"medida","196423"
"nuestras","196285"
"tenía","195567"
"idea","195084"
"aplicación","194975"
"pacientes","194229"
"barcelona","193855"
"luz","193658"
"color","193515"
"análisis","193487"
"guerra","192854"
"principales","192787"
"especialmente","192520"
"alto","192151"
"varias","191558"
"producción","191023"
"resultado","190927"
"soy","190612"
"última","190520"
"pueda","189998"
"quiere","189823"
"obras","189769"
"hacen","189593"
"natural","189509"
"bastante","189176"
"único","189153"
"pueblo","189054"
"grupos","188834"
"media","188767"
"cultura","187687"
"interior","187384"
"interés","187139"
"poner","187110"
"campo","186915"
"papel","186894"
"función","186570"
"usuarios","186567"
"organización","186539"
"aquellos","185875"
"mal","185797"
"edad","185766"
"señor","185685"
"anterior","185198"
"debido","185109"
"12","184716"
"pública","184657"
"camino","184279"
"acción","184268"
"presente","184122"
"compañía","184114"
"maría","183821"
"superior","183378"
"vamos","183372"
"apoyo","183347"
"dijo","182681"
"noche","182367"
"tecnología","182298"
"crear","182259"
"tarde","181642"
"fácil","181551"
"población","181426"
"local","180987"
"cantidad","180887"
"evitar","180610"
"seguro","180057"
"protección","179394"
"tierra","179231"
"cerca","179123"
"internet","178753"
"mundial","178455"
"energía","178271"
"sistemas","178241"
"vista","178207"
"respuesta","177842"
"necesidad","177203"
"mayo","176939"
"cosa","176402"
"duda","176299"
"hizo","176220"
"pesar","175872"
"palabras","175598"
"página","175478"
"música","175121"
"€","174640"
"nadie","174493"
"conjunto","173032"
"mañana","173020"
"calle","172524"
"muestra","172328"
"conseguir","172240"
"tenido","170239"
"todavía","170000"
"the","169900"
"mejorar","169728"
"centros","169459"
"lleva","169010"
"hotel","168865"
"administración","168654"
"capital","168592"
"visto","168017"
"llevar","167601"
"sean","167406"
"allí","167311"
"economía","166899"
"existe","166447"
"empleo","166423"
"posibilidad","165886"
"trabajadores","165699"
"edición","165657"
"libre","165598"
"junio","165220"
"ambos","164992"
"características","164925"
"plazo","164892"
"trabajar","164763"
"coche","164590"
"online","164518"
"100","164433"
"esas","164280"
"haciendo","164200"
"principio","163562"
"asociación","163253"
"necesidades","163137"
"primeros","162905"
"unidos","162783"
"ahí","162521"
"contenido","162341"
"elementos","162217"
"hombres","162111"
"importantes","161790"
"leer","161601"
"eran","161487"
"orden","161109"
"aire","160973"
"pasar","160744"
"demás","160719"
"julio","160441"
"consejo","159949"
"prueba","159881"
"efecto","159810"
"efectos","159542"
"amor","159488"
"marzo","159253"
"contacto","159238"
"presencia","159189"
"consumo","158128"
"quienes","157740"
"conocimiento","157730"
"queda","157729"
"tampoco","156822"
"mayores","156197"
"gt","155864"
"ambiente","155360"
"piel","155188"
"venta","155146"
"muerte","154984"
"material","154913"
"ninguna","153959"
"cambios","153849"
"comisión","153378"
"jóvenes","153245"
"ciudadanos","153218"
"éxito","153211"
"alguien","152446"
"europea","152384"
"construcción","151515"
"podrá","151152"
"|","151122"
"entrada","150894"
"enfermedad","150820"
"redes","150436"
"área","150248"
"próximo","150242"
"fondo","150150"
"estilo","149971"
"marcha","149884"
"arte","149767"
"dejar","149641"
"mantener","149638"
"menor","149398"
"alumnos","149054"
"autor","148633"
"9","148611"
"sitio","148606"
"puedan","148587"
"miembros","148455"
"viene","148137"
"versión","148119"
"25","148080"
"carácter","148031"
"opción","147798"
"fuerza","147451"
"zonas","147384"
"siguientes","147348"
"tomar","147261"
"materia","147201"
"importancia","146951"
"50","146914"
"económica","146908"
"utilizar","146761"
"participación","146676"
"título","146564"
"popular","146529"
"disfrutar","146268"
"posición","146066"
"referencia","145890"
"informe","145647"
"tuvo","145004"
"crecimiento","144936"
"equipos","144868"
"manos","144549"
"metros","144461"
"octubre","144400"
"objetivos","144364"
"diciembre","144296"
"realmente","144283"
"existen","144193"
"central","144191"
"negocio","144028"
"abril","143509"
"máximo","143379"
"plaza","143223"
"i","143221"
"mismos","142730"
"hablar","142708"
"somos","142566"
"precios","142307"
"clase","142306"
"mucha","142179"
"baja","142108"
"madre","142093"
"actualmente","141765"
"iglesia","141540"
"antonio","141538"
"origen","141415"
"temporada","141396"
"creación","141340"
"civil","141295"
"cliente","140996"
"amigos","140828"
"padre","140754"
"pequeño","140611"
"incluye","140298"
"septiembre","140218"
"humanos","140143"
"ministerio","140007"
"entorno","139991"
"común","139958"
"carlos","139780"
"santa","139363"
"práctica","139319"
"acciones","139272"
"ámbito","139182"
"única","139080"
"película","138909"
"razón","138633"
"viaje","138139"
"naturaleza","137978"
"grande","137833"
"hola","137726"
"noviembre","137584"
"pasa","137536"
"distintos","137363"
" =","137011"
"24","136941"
"difícil","136897"
"luis","136585"
"digital","136349"
"usuario","136192"
"hijos","135955"
"enero","135892"
"materiales","135871"
"colaboración","135768"
"11","135715"
"partes","135633"
"políticas","135472"
"cara","135463"
"14","135415"
"gusta","135078"
"oficial","134997"
"relaciones","134711"
"texto","134613"
"....","134590"
"presenta","134433"
"tendrá","134432"
"carrera","134128"
"formas","133956"
"serán","133944"
"solución","133423"
"18","133363"
"ejercicio","132942"
"cuales","132876"
"valores","132757"
"imágenes","132688"
"modelos","132630"
"movimiento","132596"
"unidad","132555"
"encuentro","132482"
"libertad","132393"
"unión","132058"
"opinión","132005"
"tipos","131853"
"puedo","131588"
"fuente","131587"
"quiero","131443"
"premio","131397"
"hijo","131055"
"2017","131048"
"seis","130965"
"temas","130958"
"provincia","130906"
"u","130891"
"responsable","130875"
"clave","130702"
"jornada","130698"
"cabeza","130503"
"escuela","130317"
"causa","130117"
"sabe","129920"
"c","129907"
"obtener","129593"
"laboral","129112"
"resulta","129085"
"época","128885"
"supuesto","128554"
"verano","128508"
"presentación","128415"
"aspectos","128374"
"•","128339"
"libros","127728"
"hacerlo","127703"
"objeto","127695"
"peso","127678"
"juegos","127497"
"distintas","127482"
"diferencia","127475"
"favor","127374"
"usar","127077"
"instalaciones","126941"
"momentos","126889"
"mar","126748"
"2018","126480"
"pequeños","126175"
"españoles","125928"
"habían","125874"
"oportunidad","125713"
"procesos","125500"
"16","125354"
"grado","125329"
"campaña","125095"
"marco","124832"
"tenga","124657"
"buenos","124463"
"trabajos","124046"
"salir","123972"
"técnica","123960"
"finalmente","123924"
"ayer","123648"
"pruebas","123582"
"2015","123569"
"2016","123370"
"región","123168"
"realizado","123102"
"económico","123025"
"lista","122925"
"vía","122820"
"tamaño","122744"
"club","122346"
"mí","122334"
"original","122204"
"completo","122149"
"cocina","122107"
"b","122103"
"*","122083"
"defensa","122001"
"industria","121949"
"semanas","121885"
"febrero","121875"
"programas","121693"
"pago","121681"
"niveles","121666"
"padres","121644"
"técnicas","121593"
"salida","121585"
"totalmente","121285"
"oferta","120947"
"mejora","120847"
"cuestión","120798"
"cambiar","120792"
"llega","120546"
"comprar","120380"
"allá","120344"
"joven","120210"
"cultural","120062"
"x","119832"
"supone","119785"
"niño","119658"
"ideas","119627"
"13","119502"
"cargo","119478"
"2019","119195"
"transporte","119176"
"fuerte","118727"
"suelo","118696"
"propuesta","118576"
"justicia","118290"
"municipal","118207"
"domingo","118123"
"decisión","117959"
"quieres","117838"
"podrán","117655"
"cámara","117631"
"volver","117456"
"garcía","117317"
"contrario","117272"
"directamente","117032"
"encima","116941"
"inicio","116780"
"blanco","116774"
"mesa","116467"
"cine","116452"
"buenas","116339"
"inglés","116254"
"funciones","116147"
"plataforma","116084"
"ocasiones","116058"
"queremos","115975"
"sé","115536"
"encuentran","115446"
"opciones","114950"
"planta","114609"
"publicado","114379"
"locales","114327"
"compra","114209"
"instituto","114035"
"tiempos","114022"
"estructura","113941"
"fundación","113902"
"deja","113701"
"motivo","113597"
"pedro","113418"
"necesita","113346"
"has","113280"
"rey","113199"
"viernes","113144"
"vivir","113032"
"alimentos","112761"
"inversión","112688"
"demasiado","112659"
"acto","112457"
"podrás","112410"
"fase","112355"
"ideal","112293"
"familias","112176"
"buscar","111878"
"pequeña","111793"
"congreso","111782"
"ciencia","111766"
"ayudar","111488"
"pocos","111449"
"pp","111261"
"motor","111166"
"pensar","111086"
"voy","111051"
"pantalla","111027"
"manuel","111022"
"lugares","110895"
"francisco","110847"
"lucha","110832"
"éste","110578"
"ii","110471"
"herramientas","110377"
"sur","110328"
"soluciones","110326"
"vivienda","110254"
"responsabilidad","110172"
"sala","110004"
"junta","109834"
"espera","109832"
"jesús","109690"
"dicha","109676"
"norte","109489"
"tú","109420"
"velocidad","109366"
"valencia","109296"
"corazón","108952"
"humano","108723"
"2014","108626"
"sevilla","108540"
"comunidades","108312"
"disponible","108305"
"pregunta","108244"
"sol","108233"
"médico","108213"
"principios","108111"
"s","108019"
"hospital","107736"
"acerca","107727"
"exterior","107660"
"17","107640"
"parque","107618"
"fotos","107569"
"visita","107467"
"palabra","107366"
"policía","107250"
"40","107219"
"públicos","106970"
"dolor","106966"
"quién","106755"
"comentarios","106581"
"entrega","106493"
"busca","106485"
"comercial","106269"
"ve","106216"
"exposición","106154"
"diario","106074"
"2020","105929"
"puerta","105917"
"cuyo","105873"
"miguel","105777"
"periodo","105725"
"técnico","105574"
"fuentes","105456"
"políticos","105400"
"memoria","105395"
"político","105307"
"aumento","105280"
"esté","105041"
"habrá","105007"
"aquel","104962"
"alrededor","104881"
"estudiantes","104880"
"dan","104785"
"artículos","104769"
"estrategia","104718"
"concepto","104714"
"entidades","104634"
"paciente","104611"
"animales","104494"
"figura","104471"
"completa","104403"
"contrato","104387"
